position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
WR,2025,3,Jordan Whittington LAR,1.2,14.4,0.1,0.2,1.9,0.0,0.0,2.1
WR,2025,3,Adonai Mitchell IND,1.2,14.2,0.1,0.2,0.6,0.0,0.0,2.1
WR,2025,3,Parker Washington JAC,1.2,14.2,0.1,0.0,0.0,0.0,0.0,2.0
WR,2025,3,Tylan Wallace BAL,0.9,13.0,0.1,0.0,0.2,0.0,0.0,1.9
WR,2025,3,Tutu Atwell LAR,1.2,14.7,0.1,0.0,0.0,0.0,0.0,1.8
WR,2025,3,Luther Burden III CHI,1.1,12.4,0.1,0.0,0.0,0.0,0.0,1.8
WR,2025,3,Isaac TeSlaa DET,1.0,12.5,0.1,0.0,0.0,0.0,0.0,1.8
WR,2025,3,Tre Harris LAC,1.1,12.9,0.1,0.0,0.1,0.0,0.0,1.8
WR,2025,3,Pat Bryant DEN,1.2,12.3,0.1,0.0,0.0,0.0,0.0,1.7
WR,2025,3,Justin Watson HOU,0.9,13.3,0.1,0.0,0.0,0.0,0.0,1.7
WR,2025,3,Ryan Miller TB,1.0,11.5,0.1,0.0,0.0,0.0,0.0,1.7
WR,2025,3,Elijah Moore BUF,0.7,7.9,0.1,0.5,2.6,0.0,0.0,1.6
WR,2025,3,Devaughn Vele NO,1.1,12.0,0.1,0.0,0.0,0.0,0.0,1.6
WR,2025,3,Allen Lazard NYJ,0.9,11.3,0.1,0.0,0.0,0.0,0.0,1.5
WR,2025,3,Luke McCaffrey WAS,0.9,10.3,0.1,0.1,0.3,0.0,0.0,1.5
WR,2025,3,Brycen Tremayne CAR,0.9,10.9,0.1,0.0,0.0,0.0,0.0,1.4
WR,2025,3,Casey Washington ATL,0.9,9.9,0.1,0.0,0.0,0.0,0.0,1.4
WR,2025,3,Savion Williams GB,0.5,6.6,0.0,0.4,3.4,0.0,0.0,1.4
WR,2025,3,Noah Brown WAS,0.8,10.6,0.0,0.0,0.0,0.0,0.0,1.3
WR,2025,3,Devontez Walker BAL,0.6,8.2,0.1,0.0,0.1,0.0,0.0,1.3
WR,2025,3,Tim Patrick JAC,0.7,9.1,0.1,0.0,0.0,0.0,0.0,1.3
WR,2025,3,Jalen Royals KC,0.8,9.3,0.1,0.0,0.1,0.0,0.0,1.3
WR,2025,3,Zay Jones ARI,0.9,8.9,0.1,0.0,0.2,0.0,0.0,1.2
WR,2025,3,Jack Bech LV,0.7,8.5,0.1,0.0,0.0,0.0,0.0,1.2
WR,2025,3,Isaiah Bond CLE,0.7,8.3,0.0,0.1,0.4,0.0,0.0,1.1
WR,2025,3,Jared Wayne HOU,0.8,8.3,0.1,0.0,0.0,0.0,0.0,1.1
WR,2025,3,Greg Dortch ARI,0.8,7.7,0.0,0.1,0.8,0.0,0.0,1.1
WR,2025,3,Marquez Valdes-Scantling SF,0.5,7.7,0.1,0.0,0.0,0.0,0.0,1.1
WR,2025,3,Dee Eskridge MIA,0.7,8.6,0.0,0.0,0.0,0.0,0.0,1.1
WR,2025,3,Malik Heath GB,0.6,7.3,0.1,0.0,0.1,0.0,0.0,1.0
WR,2025,3,Curtis Samuel BUF,0.6,6.3,0.1,0.0,0.4,0.0,0.0,1.0
WR,2025,3,David Moore CAR,0.6,6.8,0.1,0.0,0.0,0.0,0.0,1.0
WR,2025,3,Trent Sherfield Sr. DEN,0.6,6.6,0.0,0.0,0.0,0.0,0.0,0.9
WR,2025,3,Jaylin Noel HOU,0.5,6.4,0.0,0.0,0.5,0.0,0.0,0.9
WR,2025,3,Van Jefferson TEN,0.5,6.6,0.0,0.0,0.0,0.0,0.0,0.9
WR,2025,3,Derius Davis LAC,0.6,6.3,0.0,0.6,2.2,0.0,0.2,0.9
WR,2025,3,Jalin Hyatt NYG,0.5,6.4,0.0,0.0,0.0,0.0,0.0,0.8
WR,2025,3,Jake Bobo SEA,0.5,5.9,0.0,0.0,0.0,0.0,0.0,0.8
WR,2025,3,Jamari Thrash CLE,0.6,6.4,0.0,0.0,0.0,0.0,0.0,0.8
WR,2025,3,Ben Skowronek PIT,0.5,5.4,0.0,0.0,0.0,0.0,0.0,0.8
WR,2025,3,Konata Mumpfield LAR,0.5,5.3,0.0,0.0,0.0,0.0,0.0,0.7
WR,2025,3,Jimmy Horn Jr. CAR,0.4,4.7,0.0,0.0,0.0,0.0,0.0,0.6
WR,2025,3,Jermaine Burton CIN,0.4,4.9,0.0,0.0,0.0,0.0,0.0,0.6
WR,2025,3,Jason Brownlee KC,0.4,4.6,0.0,0.0,0.0,0.0,0.0,0.6
WR,2025,3,Ashton Dulin IND,0.3,3.8,0.0,0.2,0.9,0.0,0.0,0.6
WR,2025,3,Mitchell Tinsley CIN,0.4,4.6,0.0,0.0,0.0,0.0,0.0,0.6
WR,2025,3,Mason Tipton NO,0.4,4.4,0.0,0.0,0.0,0.0,0.0,0.6
WR,2025,3,Kyle Williams NE,0.4,4.2,0.0,0.0,0.1,0.0,0.0,0.6
WR,2025,3,KeAndre Lambert-Smith LAC,0.3,3.8,0.0,0.0,0.1,0.0,0.0,0.5
WR,2025,3,Jamal Agnew ATL,0.3,3.1,0.0,0.0,0.0,0.0,0.0,0.5
WR,2025,3,John Metchie III PHI,0.3,3.4,0.0,0.0,0.0,0.0,0.0,0.4
WR,2025,3,Tez Johnson TB,0.3,2.9,0.0,0.0,0.1,0.0,0.0,0.4
WR,2025,3,Scotty Miller PIT,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.4
WR,2025,3,Russell Gage Jr. SF,0.2,2.4,0.0,0.0,0.0,0.0,0.0,0.4
WR,2025,3,Tyrell Shavers BUF,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.3
WR,2025,3,Bryce Oliver TEN,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.3
WR,2025,3,KhaDarel Hodge ATL,0.1,2.0,0.0,0.0,0.2,0.0,0.0,0.3
WR,2025,3,Tai Felton MIN,0.1,1.3,0.0,0.0,0.1,0.0,0.0,0.2
WR,2025,3,DeAndre Carter CLE,0.1,1.3,0.0,0.0,0.1,0.0,0.0,0.2
WR,2025,3,Dareke Young SEA,0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.2
WR,2025,3,Nikko Remigio KC,0.1,1.4,0.0,0.0,0.0,0.0,0.0,0.1
WR,2025,3,Trey Palmer NO,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1
WR,2025,3,Anthony Gould IND,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.1
WR,2025,3,Devin Duvernay CHI,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0
WR,2025,3,Xavier Smith LAR,0.2,1.9,0.0,0.0,0.0,0.0,0.1,0.0
WR,2025,3,Demarcus Robinson SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Chris Godwin Jr. TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Cedrick Wilson Jr. NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Braxton Berrios HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Tom Kennedy DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Gunner Olszewski NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Mason Kinsey TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Cody White SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Ihmir Smith-Marsette NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Javon Baker PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Beaux Collins NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Jonathan Mingo DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,3,Kevin Austin Jr. NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
